ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UCzpQ12GF06yxrb0HwR2Jvdw,아카펠라 나린_Narin,45014143,443000,423
UC3Y7dRTB5aOPyo7pzb2-Rzg,하또냠,1385969,1160,138
UC0nLl12UVCzQGTJIejlP8uA,따라잡아경제,3231344,7750,717
UCQTtu7l1BqkCoF4CmCw3aAw,Sinae Eats시내,155200976,477000,825
UC-Y5qGGDB50KfTArLa0g2Eg,쉬운살림,11165153,14200,91
UCy2ghXvpRC-egX3Rp9wuH1A,네깅,88400,47,20
UCBLzKyT0vt3Lp99hbewou3g,BKY English,268573,537,217
UC_ziJwKuX2djzmqqRKVXh8w,영종도방방곡곡,170441,694,192
UCIFr5yGwoWfi_2A4Mfa6JYA,신상털이,199235,139,78
UCyUDHSIQwp-RAjPTRNfDoag,강삐르,696808,806,386
UCc8n1d-IVJsZnnb50ubohXA,디슈 D'shu,63245,191,46
UCw-QmownJwilhTje10TYlIg,HIU 하이유,3042853011,5650000,876
UCA0y0n4C50RwSfQZQ2HT8_Q,빨간조끼아저씨,44508344,59900,7583
UCeb59mKOGlQlxD-n9kzilww,빵소리 BBANGSORI,1510151,7350,86
UCOoeGGdxl61bii1ueImdpxA,달달,2304,0,17
UCY_OzfmQ-mdFhsPYL5kr3kw,잼공룡2022,81506,123,1126
UC4DuHAYUkb6C7x3kLJ7EYDQ,레몽몽,4405509,1560,566
UCh4Z2RSCOjOKV-j6dPM8vGA,Park hoho박호호,77898,43,20
UCsbAdaRJIwMwPtmfutaUV9A,산만한 흐주,255278,202,325
UCzfdjFvUH9ywoUETC7yEswA,Hi김성준,752256,1170,962
UC9Ocst-U-3lHEfLwd_qpAKw,맛집탐험대(아재입맛),1449918,1570,715
UCcIVnF8MVxC0KkWzhJ6H7Lw,육아중수의 경험,295941,201,512
UC0RoXSbYTdyd5o2lOQrie8A,도리투어,1051159,287,71
UCrpoE9e2-eWcj8AYvwYdebw,에드머 Edmmer,396676453,533000,2618
UChOR4J5pIyD2DbVT72PmBOQ,간식톡,2191094,4690,144
UC_-L5NFweHIMk_5bPmBmdBg,진슬토리 Tori,2281220,4010,317
UCDL5z9afwoZWkaLmjckGTeA,💦물망초 일상💦,174017,372,410
UCjK6O2LrsctJXPNyqad4HPw,Findoutdessert,406648,774,209
UCsVl0OPn3acSVI5pa1buv3Q,김오리농장🐥,30354,33,44
UCt4K8HRTrN21pTrn_3_hNxA,홍프로디테,4872872,10500,321
UCoUlTXkcDV5wJyH8T-t0wDQ,창돌이 ChangDoRi,3211011,2630,298
UCTR98Sg8pW5LSOJ_iYp1e_A,먹리뷰,69125,43,41
UCxAuYZvsSVD6Wvm1k-c8tDg,♡입맛없는아빠♡,539762,523,1211
UCAsHJbPbGENF_KJYhcdV0dw,나나 Nanasserie,80869291,298000,618
UCysSC6UjONpWKMbBupJZjpg,[빵튜브] 뽀니 BreadTube,66029628,146000,1018
UCAMUC7lNMipXUT_Cy3EEF9A,홀리몰리트레블,117881,60,38
UCbYq4WI1yyU_SJSniLtmg2w,조윤삼choyoonsam,382606,1400,249
UC8hX7BfjDQgKDXWEfCebuVA,이투스247분당정자,76522,50,43
UCXVj32pdYDZk6JldJkhV49Q,도시채 TV,41675,41,46
UC8INO9LCKcUt9J_QIKz3QfA,사소한하루,508745,558,885
UCzjER1W-3Oo01_R_h5XGrvQ,마스터D [고품격음식리뷰],515208,2310,181
UC1r112Pr9Ngcg2NtcE946HQ,맛상무,301235455,637000,1822
UCJq38T1t7EPoIqPPeQJB-bQ,백백백 backback100,186923,612,489
UCuNpyPUYndbYahKY0AfqNww,링빵 Ring Bang,749463,6880,316
UCVF5rlUt-G6-yXijS9_qCww,Winter Aurora,14944,42,105
UCxECjQAglnr5s7L8Qbu-TGw,호홋Hohot,442711,383,64
UCa6evMPhCxKbCpbKucCwQfw,한입식탁 hanest table,59964,42,167
UCmzETbAPgxhjZNN8ovIJHew,방박사,74272,237,57
UCgW1Ic2K50WmrMyOLwmBcfw,Ganii_가니,29125752,50400,461
UCk5k48i9wq4Yoj-f1rZ1H1g,두부워니,13521,99,48
UCuws1NBQjyEa0oosFZANdCg,차오름주식tv,172739,591,131
UCAL7b8aUEnDqY3BngYWmcEg,여원맛집,5062528,3530,255
UCLSAkTrvVpIFM4Eot7y67ng,나잘먹 (najalmeog),8109017,8720,2980
UCefIHuRu7s6x45XhQP-ZD9w,또? 너야!,635460,848,158
UCGxDEFrY6UUFvT91fb4MtFA,제주외벽청소,424559,1290,324
UCbmXjlfbR9A8_1E7wKInEKQ,소식냠쩝,247690,1420,112
UCVyHxL3QGz29lKlsLPfy6YQ,요리삼,1008434,1530,754
UCpsMLo-e7Mf7p-XIJ-F8JaA,지닌,113537,472,81
UCm0hDgsXhwH9DyWjFg6q_QA,"온라인 김부장, 뭐먹고 살지?",5090732,9430,13847
UC1P_nZXaUVPCWKpjxO5nnvQ,홍다뷰,285349,226,157
UCAKs57qhGquQrYoOBwHzztQ,Way to go 민주,110685,1850,20
