ChannelID,Title,ViewCount,SubscriberCount,VideoCount
UC2yUDyygNwRdRGd5cfM0SiQ,GS타이쿤,49192,41,20
UCZGHNiDEkM9abeEP_6rRHZw,GS편의점 아저씨,4164,22,6
UCrLSt4eLLKOkCs4fkDKJc7w,guest,5520,27,42
UC1YX1uKcEGnH_KkBcS_FKhw,Ha Haru,12760,4,19
UCS5ZmuS4UrfsyuRKgzuqM0g,habit dance,137937,260,266
UCBVUdhrSZw4wufq8EjGhBOw,hamLuna,5037,12,19
UCRx05CmLgmuyCLLYEoR9kRQ,HAPPIG 해피그,2217438,2800,67
UC8hro5lQahPUng4-4RtGC_g,happiness_suny,36875121,38200,46
UCUVTb8jAvLqRw9yruckCwZA,happymoneyinc,1433257,955,243
UCvp1njiuxzh8LxJsNVckoTA,Happypoohzzang,28352,49,28
UCMzdRWeTFAfJZF6-Zu9gQmA,HeiJenny,13888,7,30
UCUaZynW_gGLcUgATq_ptzoQ,Hello 녕,303591,948,215
UCE4SbLpjOAYc7pQuVZT4Vdw,HJ Kim,542946,721,268
UC7mRDodM8Z4TLTgftDaJECw,Hobby Trick Studio 하비 트릭 스튜디오,334373,1080,202
UCoihEwLbK1Amhgfpcn5Gx3A,HobbyTo,23285,32,90
UCBIoXzDldCnpbM_7uyG0_Tg,HONG SOUND,782887231,1820000,1601
UCo2QTtyCwjA5m8-RhUILNsQ,HOPES,785,2,6
UCLTidh4NIii8o2Xt4Y6okfg,HSJ,716,5,31
UCmYbAkE8sU3o8T2W19T7Riw,humming day허밍데이,168747,231,66
UCkBPl9ucvNB62VZaR5ixr7A,hunny bee,87897,190,166
UCQ_EpNlG4Wd0vEn26ep9OCA,HURU,23992,31,18
UC3tbFj4-ZJrwrAoYt5IHCoQ,Hyojin Shim,1723,3,6
UCeRhRSFwEqzve7t-Ip5PVwQ,Iam으네,40083,41,47
UCJHuQf2KRGfsN65LTxGQ4pQ,Ike TV,184641450,2330000,4928
UCdU4CThv6sG6zLRY5DL9PPA,Imagine Our Korea,46024,36,194
UCVgQGlCg1eiqAAlAnTv1e1Q,IM정민,4885875,24900,83
UCIZePui25Qae-Y8qlekzskw,Isntree 이즈앤트리,6711510,1750,765
UCHz0gSKEDgggYrC5KpYib5g,J.Marda_제이마르다,2204142,24500,257
UCjg3hrVHOKn0XTFEMTImylw,jabjisick,4388,5,5
UCEWg4QC8OZ5GMYa8Sd_KU-w,Jada's Favorites,21345,13,15
UCCuusUp33T2EuGDIYwKdhug,JEEHYUN SIM,21,2,1
UCiM6iYI47trFNYBlHLLCdSg,Jelly’s,690,1,3
UC0kfQ1LW9Klk5IUJfK68r4g,JH 사커,29536,92,186
UClPfJjQ-Ywc7jaWkjJ86lAQ,Jings ASMR 징스,208252607,82100,1304
UCNM7ypRSu5hUWRrxDUTdomQ,JULIET ASMR,79521989,235000,983
UCQQmqEUXnuLgnusYkck9cag,Kid's World,1915,6,43
UCOLu422o_A3JGbzaoUDT3_g,KIM ILINA life,330721,1660,230
UCNTdT1x3CntEg2Kqe44dbEA,Kimchi Fighter,15619,65,60
UC1ifSsWUG241rRfK0ezYCgA,KNN NEWS,1873924639,744000,92060
UCMUZWiDd0lA7cKukAJR2gzA,Korea Mixman,6884,16,2
UCAcpr-1eq9DGgwDTs09vSYA,KOREACVS,7816,15,4
UC0ZBv73hYBOjkcFnzNv6Sjg,Korean lunch box,2867,28,6
UCjXQ7UbrXy27bCv4hsAqWGg,Korean_nugu,436716,755,59
UC0WQxJKtNTGEm9-hx9P9mWw,Kyla (카일라),3689,7,11
UCk_4i6aQcsN-ifrlfe1SaUA,Lin,272,0,7
UCyZ1b_VRazlmDoFPsaWoHXw,Lisa. 간단요리•집밥,1165319,2320,647
UCrnAjUF7pc91OU2-L70N7qg,LJ syn,159079,116,522
UCBFmVViIfZnX0WmATt1EhPg,Longboarder_ Moon,8978946,10600,140
UCKGgWiA5rt8w-RSgQSzT4XA,LOOK_ASMR,6682,1180,10
UCgb2TIkXDlU2eNccwsZ-Mwg,LP STUDIO,632214,5220,107
UCiHBnX8sU5X3QA9GKj5hf-w,Lucky빽이,10,0,1
UC-s8EbqHOe8DG4HbGe8q5vw,Manisha chapagain,5913055,17000,785
UCPYJ-Qy0DCKDWvFM6dTfrug,Manjoo,1101,3,6
UCawINZFEwbUK8rQQwNM8UHw,MASASHI 마사시,1852,2,7
UCiK3IVXyClQg118ern13u7g,mckrap,949023,646,1420
UCBUtFPCMLj-ZT9hlywdyIwg,midchiving,294026,404,194
UCdLo-XRJNQ9NvKNQeRFD11Q,mingo 밍고,306806,189,72
UCfEfk7u1394chXQtQbpEI5g,minhanh.,63937,1810,28
UCorHdN7uaJ7poNMrKLkgVlQ,Miranda,9317,6,7
UCXG8gez51Wc5Q-DUs60fr_Q,mj kim,2052,1,13
UCBE_byh5Q1D33x9Afs0BoKQ,mm,5866,14,10
UCkK94WdPdwjDUpB4B6hmd6A,mokpo_good_place,62888,57,143
UCAgoYS46Jq6-nqdHoGNGk3g,MONICAnoKONOMI,29528,31,42
UCKKFrtaWpwkJ4_51GkP3BXQ,mungchi87,172090,315,606
UC_bQQNXTLLvo7Qg7aDsfDmg,my_.chaeni,81613,2330,5
UCtZmW_MUNAvAl3RYWY18Ucw,nancooking 난쿡킹,442802,498,358
UCSwP3uEBl6zBo9qh82YYZYQ,NEWSMARK THAILAND,19644799,64100,1895
UCUfjhKhLa2hkSheJnJmTnkw,NoN,46013,125,18
UC3HEP6Qyh1hdsUoAq5P6OQg,Normal Seoul,33464,3010,59
UCzUGYX8B8pEcSbJ8C7HYnMg,Norwegian Wood,579821,3120,706
UCvD-rxvfQuTepmLi82LwfRA,ONOFF,137815,293,79
UCh02kxjBVkhikHC3W1T7lvA,ON-TOP10,1078475,994,71
UCfW_upXCfYymfUhf60ApOjw,oreo_iceice,6486,8,121
UCtLGd0uVqpS1cEvkGmojGWA,pasongsong,364261,485,96
UCAeZCrSPPcIpPusiBxXSUoQ,pigpig_land,702565,455,168
UCXGQpoxMEG5aQkZMxHcF8PQ,pingball,3227,10,36
UC4PZ1JED39HGH_KqkiqzfGA,전문학사,1542173,1230,931
UCcawZRrUC4UkM1KI9VZmndQ,PURUM PC 라면천국,1678938,1650,1997
UC0p07Ap9E_Y5SyxArMXvVfw,RADI,3365,5,45
UCJu1DpKutKAY_XucJpbGBdg,robin,1688,14,4
UC1QO9bnqDeEKfR2f6cidAbA,RTMAFF알티마프,2738181,8730,1136
UCh1Uf4hz5HnfBXt7ih2J7QA,ryu류여름,407687,550,185
UC10Ybu8nsdTH2Z62mz5Kq-Q,Seasoning Mansion,42243,36,120
UCWiDdyt6948VYzuUwsGaKrw,SHOPPING TV,203500,378,282
UCnBgRIoqDy5MgWD_9nviEog,Short Kitchen ,36236,20,16
UCgNeMfXZ9XWmULTUeetcVIA,silver chloe,46799,31,157
UCQTtu7l1BqkCoF4CmCw3aAw,Sinae Eats시내,155200976,477000,825
UC7eGNV3h-d4rCZe_hvtN9BQ,Sira LIFE ,114215926,69800,15882
UC_UCNxkcXqbqy0UehvO2jlg,Solar,8520,29,3
UCdbkhgxBTyVHJgUgXVq62yA,Solo,22577,49,22
UCvgjtCV5hNwG366SBictC3Q,som__land,250254,372,80
UCPENbaHntzFzVCBqLHHAIxw,son of snack,40168,167,81
UCFhajH5z146Vn-ZhT0VOAbg,steve Choi,12435,2,6
UCAuAbi3YzMC7i7r8a0S4Www,strawbetty7 ,53066,731,864
UCalnSq2HFWlaO7Wwf8wdunA,Sugary슈가리,3331265,15000,171
UCb-DJPMinhPtsAjv3ZEi7PA,Sumi Kim,3892,4,54
UClzrVJiMR1lfiliNplEdRBQ,sun____cafe 썬카페,184526,196,320
UCiMktUGV2l7u9kCP3N1uvBA,Tastyfood_story,12444,14,12
UCqmlc2XxcRYdwK5rDcwM49A,THE지미님,287,1,3
UCgCDu8FZhC6mOqwBzBgLbZw,TIRA OPPA,15808,1960,69
UC_PZ6tyU0Wt3lMLG-45iLrg,tjia zhu,2621844,3180,3524
UCXEkXWrGV0KAmvajUzWvXzg,TOKYO자두네,32418801,131000,257
UCFLPY44UxXtxnR_4nWCv_7A,TOM TRAVEL TV,185834,1080,678
UCOcDpABjgUMq_xxd9trsWaA,Tommy의 피규어 장난감,6618,4,91
UCNVBcAZ_GgTQAw8gbBsmeXQ,Trang Đặng,111118,22300,209
UCDL_zwG6Jd6vWRSuF9_8MZA,TSN TV | SNSJTV,5549171,343000,1012
UCge6bk2ez8pmsGSCMtJR6Ww,TTOLGI채널,10497,61,29
UCRNwMDz0hAyJSyTjA-eikPg,Tú Anh_eatwithme,297906,930,235
UCse2FvzyReaT03cvlf4hY3A,TUF_shorts,768467,3150,145
UCBCXG4WnndBjE71ZJcL7fKg,Tungsile 퉁실이,88794,85,67
UClFvGKn7uvEwM5FUkKz5wMA,TV제물포역,10687017,4600,27885
UCgRWG9Y_WR5hMoIIfN9r3nA,ULTIMATE KNIGHTS SKKUKINGO,8637,29,35
UCReO0narAXjFs59KFqqtE8g,VIVO TV - 비보티비,450352601,799000,1459
UC-7awQDf5S0bh5hpaBytVUQ,Walk and Drive in Korea,213736,671,158
UCAKs57qhGquQrYoOBwHzztQ,Way to go 민주,110685,1850,20
UC6TRU8Dfzu0tCfz5qvBJmQQ,What's Next?,2616982,1060,1380
